Gene,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.50773777223778,0.901479307873657,,-0.979107770803822,0.026342953874578,,-0.98499404522344,0.01969121238946,,-0.862227128640922,0.037498200044291,,-0.665844273523352,0.255731390149767,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,0.21441386997762,0.999989494557828,,-0.294160134787925,0.832158772417924,,0.221552816335922,0.846127849771047,,-0.324656301030473,0.761606809236168,,0.674925319224565,0.660096226949253,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,-0.090582705138116,0.999989494557828,,0.061955131138514,0.945382672105279,,0.065336002145904,0.928946036686344,,-0.374429237919197,0.524844189944758,,-0.027673179229965,0.984732557706188,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-0.111975447030222,0.999989494557828,,-0.2420554559755,0.572420809645916,,-0.744960932346486,0.018547323906685,,-0.799394125750033,0.008556341162826,,-0.589244438664462,0.154674341957387,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,0.013541356778887,0.999989494557828,,0.01932125487698,0.984467792265353,,0.313101815880526,0.664604383121424,,-0.177517309957098,0.806219579281059,,0.010743647940958,0.994202435922296,
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.402825611732597,0.786796265293432,,-0.613786853357697,0.050078861712734,,-0.655317173396781,0.025623263197826,,-0.439964557480177,0.137544156424561,,-0.664106870846081,0.058228351680196,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-0.600975432613432,0.775922157568881,,-1.84799612558564,8.99E-06,Down,-1.80589429928083,1.12E-05,Down,-1.7254822888598,2.24E-05,Down,-1.30992779176296,0.006412723876551,Down
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,0.171476852363941,0.999989494557828,,-0.035994108690437,0.963766414268073,,0.220573668956611,0.691852211698147,,-0.015584659639977,0.979289461393765,,-0.348538012220868,0.68137955426644,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.177617032037351,0.999989494557828,,1.58942059905509,4.71E-05,Up,2.11741392135791,7.08E-09,Up,2.49110202102621,2.12E-12,Up,0.466183059562123,0.503692920821382,
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,0.135191676605404,0.999989494557828,,0.333800711371035,0.640103555659367,,0.988220070794735,0.055064793121644,,0.825714566328552,0.101530393774921,,0.690834258684464,0.344744028396464,
Os01g0102850,NA,None,1.33891179453931,0.816394679742621,,2.18051987753563,0.036247810384276,Up,2.58975501821338,0.006880711326697,Up,3.45589798374677,8.97E-05,Up,3.16523109859029,0.001820141041452,Up
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,0.280170877223062,NA,,0.084124239427774,0.969084439509119,,-0.185941773360663,0.919338689244394,,0.788101062770738,0.571544128781664,,-0.706966771833741,0.805293177727969,
Os01g0103100,['transport.peptides and oligopeptides'],LOC_Os01g01360,-0.204042844065715,NA,,-2.24538370947235,NA,,-4.45449830809453,0.103577366853579,,-3.21167704036061,0.19456612318016,,-1.52848099274871,NA,
Os01g0103400,NA,None,0.363981618400718,0.999989494557828,,0.450546341867211,0.664305996662969,,0.173047688765256,0.863406070968901,,-0.382241793187402,0.680114328512504,,1.17999957670703,0.224052548728275,
Os01g0103700,['not assigned.unknown'],LOC_Os01g01380,-0.281254570334122,0.999989494557828,,-0.586450478328619,0.40966610307008,,-0.356932687270528,0.589319615642782,,-0.88319482580454,0.132982152748531,,0.458501989191539,0.6264888457536,
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,-0.22597671736265,0.999989494557828,,-0.881425907031877,0.048743436927226,,-1.40832812340608,0.000632050440271,Down,-1.270678929217,0.001744834907215,Down,-0.389268299804313,0.578211051671607,
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,-1.03041577759623,NA,,0.374750240131291,0.859524007679803,,-0.142267874442986,0.942228326624313,,0.451014698518192,0.780152022660335,,0.931233823480204,0.701936435494308,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,-0.495008430580549,0.979701528882225,,-1.35584752232961,0.004662190611562,Down,-1.67704929967568,0.000266340576917,Down,-1.96771907184535,1.39E-05,Down,-1.19598705362319,0.03350507803343,Down
Os01g0104350,NA,None,0.625212193551398,0.999989494557828,,0.142579573706952,0.910392693196198,,0.575313811377676,0.506904505827564,,1.17319718962668,0.10711139439927,,0.016173988371494,0.993431754099082,
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,-0.3417841266182,0.94430919007592,,-0.322996886933366,0.404817145634155,,-0.0998521817116,0.800990800140851,,-0.316083173402973,0.329964766837909,,-0.486065498630667,0.249394545812963,
Os01g0104600,['development.unspecified'],LOC_Os01g01484,-0.101185149514519,0.999989494557828,,-0.289292232023115,0.564370262179818,,-0.082650773695883,0.867444273781263,,-0.015107577344447,0.974971959869331,,0.117120057561493,0.890090615973906,
Os01g0104800,['not assigned.unknown'],LOC_Os01g01510,-0.512454846856104,0.999989494557828,,-0.707591405754239,0.359093989835233,,-1.95805827492763,0.001747050759155,Down,-1.83078455228051,0.002887181974443,Down,-1.00489940115991,0.249394545812963,
Os01g0105400,['not assigned.unknown'],LOC_Os01g01570,-0.142250442876171,0.999989494557828,,-0.392300717679039,0.570490897924278,,-0.308657414549832,0.613585828235972,,-0.715296578741504,0.186940615685143,,0.349353627965049,0.707265297198974,
Os01g0105800,['Co-factor and vitamine metabolism.iron-sulphur clusters'],LOC_Os01g01610,-0.022508929513243,0.999989494557828,,0.028378201549413,0.980876795544836,,0.351595065183671,0.682934259013426,,0.71776471160299,0.325957929536612,,0.965293140951962,0.325574465590645,
Os01g0105900,['minor CHO metabolism.others'],LOC_Os01g01620,0.258417763102128,0.999989494557828,,0.00953418963476,0.983580229740348,,0.308273115205683,0.307739218898719,,0.271745213167499,0.355792545588004,,0.287862445723354,0.515386234374703,
Os01g0106300,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01650,0.068248537573941,0.999989494557828,,-0.036417992823037,0.98219670580205,,0.256639876990817,0.840050713090392,,-0.883325148579585,0.398247902488764,,-0.31396699003177,0.886429648082143,
Os01g0106400,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01660,-0.786586627270278,0.999989494557828,,-1.94218747080619,0.108298527269152,,-1.58109905924155,0.164420086382923,,-2.60593111224016,0.017339318538354,Down,-0.930456007289926,0.609460870583331,
Os01g0106500,['not assigned.unknown'],LOC_Os01g01670,-0.001698462107098,NA,,-1.4969693882231,0.18495841618685,,-2.2025209580309,0.045425959783013,Down,-1.93053295606582,0.060104119161118,,-1.14197776634881,0.452295137680907,
Os01g0106600,['not assigned.unknown'],LOC_Os01g01680,0.092028892772908,NA,,-0.358782964004844,0.878224870829734,,-1.06804201167243,0.552609908465878,,-0.700560755735129,0.690615692216589,,0.60046097018625,0.840096575795142,
Os01g0106700,NA,LOC_Os01g01689,-0.380614386346854,0.999989494557828,,-1.10105172667139,0.045575715931224,Down,-1.23782831124708,0.015947306126513,Down,-1.04812287659521,0.037700941229666,Down,-0.506088958305143,0.54845096142876,
Os01g0106900,['secondary metabolism.isoprenoids.non-mevalonate pathway.DXR'],LOC_Os01g01710,-0.14673548213704,0.999989494557828,,-0.327518525840668,0.645532652753973,,-0.005911259772023,0.99349057334993,,-0.068484002267884,0.91531441749205,,0.141279742548297,0.903687509437927,
Os01g0107000,['protein.targeting.peroxisomes'],LOC_Os01g01720,-0.239531009527071,0.999989494557828,,-0.372508680059635,0.287574275120722,,-0.057270108002203,0.882194338833057,,-0.059793062897789,0.866774402720844,,-0.153415223323651,0.790339452715946,
Os01g0107400,['protein.postranslational modification'],LOC_Os01g01740,0.672406294382172,0.999989494557828,,1.58694125100312,0.078028219160363,,2.25972844147209,0.003698001317423,Up,1.49436130604633,0.070992520048173,,1.25925831956298,0.295401452730409,
Os01g0107900,['not assigned.unknown'],LOC_Os01g01790,-0.109121999182801,0.999989494557828,,0.14763698745656,0.822320019614957,,0.339980304617821,0.479959352927277,,0.51029618683035,0.236208610547191,,0.539279278468461,0.375452916749161,
Os01g0108000,['not assigned.unknown'],LOC_Os01g01800,-0.171972908230969,0.999989494557828,,-0.2169859566982,0.592565926344521,,-0.436571126923288,0.167905869709258,,-0.412977074061313,0.179519766363323,,-0.116556999578044,0.856418411515051,
Os01g0108400,NA,LOC_Os01g01840,0.496690336494317,0.999989494557828,,0.450850218555708,0.76567271577798,,0.553284782161701,0.650156993780592,,0.34679286925099,0.773853008113737,,0.866519081962353,0.615472317472399,
Os01g0109000,NA,None,0.207459545099053,0.999989494557828,,-0.425996801329497,0.57985898416262,,0.049169017100679,0.949233012659711,,-0.168326114728898,0.807616530659033,,-0.048941700112328,0.974226540089138,
Os01g0109700,['RNA.regulation of transcription.unclassified'],LOC_Os01g01960,-0.293987241836703,0.999989494557828,,-0.395165871619939,0.300025924331906,,-0.22038347262604,0.546190376888022,,-0.096362765330368,0.79875202117842,,0.010139682303586,0.99070203418945,
Os01g0109750,['not assigned.unknown'],LOC_Os01g01970,0.150888518145701,0.999989494557828,,0.533265400107246,0.358136377502068,,0.144088569105318,0.815885905808934,,0.124629714313417,0.832897776166143,,-0.18571419927495,0.862600448760265,
Os01g0110200,['not assigned.unknown'],LOC_Os01g02010,-0.255888245659543,0.999989494557828,,0.091452704303158,0.954927689411513,,-0.095492180259734,0.94087972087183,,0.017160178683717,0.989013001527824,,1.16222584823337,0.381872294399446,
Os01g0110400,['secondary metabolism.isoprenoids.mevalonate pathway.acetyl-CoA C-acyltransferase'],LOC_Os01g02020,1.00312480820931,0.024980746036878,Up,1.44544279931352,6.53E-06,Up,0.873832949822363,0.01118681850434,,1.0249020241082,0.001586620954088,Up,0.714602983104417,0.105151796114875,
Os01g0110700,['not assigned.unknown'],LOC_Os01g02050,-0.064106633721887,NA,,-0.797592286556231,0.53081170903191,,-0.027105639754465,0.983290365712541,,-0.570020167097109,0.600130961359729,,0.171101240239897,0.93786636362878,
Os01g0110800,['DNA.unspecified'],LOC_Os01g02060,-0.633760184250672,NA,,-2.03210507821475,0.35949462931066,,-4.56544828540143,0.049114185121408,Down,-1.76802835261269,0.348080274528591,,-1.01411891016484,NA,
Os01g0111100,['cell.cycle.peptidylprolyl isomerase'],LOC_Os01g02080,-0.168723483002121,0.999989494557828,,-0.467588027297456,0.472099833090376,,-0.514449701892955,0.355087175853131,,-1.20308100224788,0.014252386729994,Down,-0.109270957915414,0.924684543634887,
Os01g0111300,NA,None,-0.011363485594702,0.999989494557828,,-1.23966993565695,0.137593830542776,,-1.35046450284259,0.084314099640614,,-1.73785052394713,0.022746574316297,Down,-0.666871565516047,0.588697043688499,
Os01g0111700,['not assigned.unknown'],LOC_Os01g02130,0.882444728359348,0.996759603762216,,1.87371414233174,0.038490805298698,Up,1.72704486904843,0.048312606548483,Up,1.70585929691807,0.044664599571774,Up,-0.181449150863598,0.939381856144683,
Os01g0111800,['not assigned.unknown'],LOC_Os01g02139,0.247307098637029,0.999989494557828,,-0.297409308568512,0.86339260197147,,-1.48314916859543,0.220940875565598,,-1.92492731737145,0.097521907886159,,-0.124385303759765,0.96610825783912,
Os01g0111900,['not assigned.unknown'],LOC_Os01g02150,0.280997207936294,0.999989494557828,,-0.191197981737907,0.875508584788157,,-1.10537132008869,0.182580347838697,,-2.02100150609221,0.009100895318335,Down,-0.414385361834022,0.785548989021295,
Os01g0112100,['not assigned.unknown'],LOC_Os01g02170,-0.208154228194742,NA,,-0.679283331737697,0.728422308398868,,-1.86830953431421,0.276991339378524,,-0.605666324609385,0.702125178372135,,-0.2699618241277,0.931963783005409,
Os01g0112300,['not assigned.unknown'],LOC_Os01g02180,0.199257306109302,0.999989494557828,,0.104802799071342,0.902794433689869,,-0.504142385666036,0.404976070741083,,-1.02686680860086,0.064199419025199,,-0.176705910356317,0.884704179323332,
Os01g0112500,['protein.degradation.ubiquitin.E3.RING'],LOC_Os01g02200,-0.573753541101798,0.662028800137233,,-1.10149216320617,0.003087245055921,Down,-1.57059980046037,7.59E-06,Down,-0.80843026747466,0.026669178013455,,-1.34526055668501,0.000638503793295,Down
Os01g0113200,['signalling.receptor kinases.misc'],LOC_Os01g02290,1.82248268498169,0.08895838986167,,4.26958128745517,1.70E-11,Up,3.5507070521137,3.11E-08,Up,3.9884577309688,1.47E-10,Up,-0.877975693758156,0.559806987109781,
Os01g0113350,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g02310,-0.560907966991734,0.956500730084512,,-1.48923577201103,0.005423065168214,Down,-1.78663439656456,0.000965190354489,Down,-0.767497781183025,0.143786657388401,,-0.358487241859697,0.703864072377038,
Os01g0113400,"['protein.postranslational modification', 'signalling.receptor kinases.S-locus glycoprotein like']",LOC_Os01g02320,0.042208850038463,NA,,-0.887502785459725,0.578492049974858,,-0.041628756896201,0.978876632090124,,-0.021532111374119,0.988715599259246,,0.6726172320667,0.746686776510042,
Os01g0113500,NA,None,-0.140965706897394,0.999989494557828,,-0.449392675870719,0.457467653593042,,-0.463062544936278,0.381022106179143,,-0.226658124325941,0.67712201005803,,0.299670841250223,0.730128171206996,
Os01g0114100,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os01g02390,0.883767907680903,NA,,1.23506137415661,0.33513669809257,,-0.08495544182544,0.956800595738103,,-1.13648130983484,0.401321809349635,,0.518727649738517,0.81716459421628,
Os01g0114300,"['protein.postranslational modification', 'signalling.receptor kinases.S-locus glycoprotein like', 'signalling.receptor kinases.misc']",LOC_Os01g02400,0.179521344982798,0.999989494557828,,-0.194110883548277,0.779722913088635,,-0.793868930430678,0.097926039709426,,-1.34603759858541,0.002508231982796,Down,-0.456906600642855,0.547868637529238,
Os01g0114550,NA,None,0.459921554162244,NA,,-0.113188486758798,0.949223877004979,,-2.71912177439841,0.048540874446182,Down,-2.13676472888513,0.079281741558068,,-0.540141956557795,0.801398828176292,
Os01g0115100,['not assigned.unknown'],LOC_Os01g02490,-0.116250906916192,0.999989494557828,,-0.831552346982898,0.135394490838429,,-0.988786480118867,0.052407705000586,,-1.76144390830034,0.000347379510834,Down,-1.25288451030078,0.039365073384576,Down
Os01g0115300,NA,None,-0.201724231477546,0.999989494557828,,-0.720586236897349,0.294130578206119,,-1.25679955879185,0.039006564862411,Down,-1.55501759484422,0.008491314252962,Down,-1.70914885216916,0.019803660923807,Down
Os01g0115600,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os01g02560,-0.164226524661435,0.999989494557828,,-0.403571373941346,0.620178524088984,,-1.28558862956302,0.035187869245757,Down,-1.11406838478405,0.062828904911386,,-0.855719828403455,0.322141995895911,
Os01g0115800,['not assigned.unknown'],LOC_Os01g02590,-0.408313238760521,NA,,-0.505348349736664,0.652274510256823,,-1.35598987475783,0.145896774359766,,-2.43032368050821,0.01196544993948,Down,-0.445544253820897,0.784913531725862,
Os01g0115900,['signalling.receptor kinases.misc'],LOC_Os01g02600,-0.756694598457108,0.831373625413159,,-1.9861670627623,0.000772474131949,Down,-3.03528717202408,1.84E-06,Down,-3.56308280886023,5.61E-08,Down,-2.21772180062672,0.00091340646527,Down
Os01g0116900,['not assigned.unknown'],"LOC_Os01g02710, LOC_Os01g02750",-0.313510254215007,0.999989494557828,,-0.410302953928192,0.553618808630153,,-0.547928563201567,0.340321999175296,,-0.94141070183204,0.072655946964472,,-0.694171692799697,0.366864767537874,
Os01g0117050,NA,None,-0.672935540121977,NA,,-0.662921885276445,0.60400934706265,,-1.85247001991283,0.101570065108503,,-2.47661173143105,0.029463356109261,Down,-0.796349287663836,0.646249938860892,
Os01g0117100,"['signalling.receptor kinases.S-locus glycoprotein like', 'signalling.receptor kinases.misc']",LOC_Os01g02770,-0.615944108508298,0.846272672575527,,-1.05527963264458,0.03583396666163,Down,-0.685927832197543,0.169700597898233,,-0.071727195019834,0.901458819419137,,-1.60044451946564,0.00468812921437,Down
Os01g0117200,['signalling.receptor kinases.S-locus glycoprotein like'],LOC_Os01g02780,-1.41387594040434,0.790549793424001,,-3.31753086192878,0.001650813854683,Down,-4.59287507497555,2.07E-05,Down,-4.34357708095521,3.45E-05,Down,-1.862208487974,0.175225591990719,
Os01g0117300,"['protein.postranslational modification', 'signalling.receptor kinases.S-locus glycoprotein like']",LOC_Os01g02790,-1.35476700625875,0.607855009572254,,-2.85347609222372,0.001616670618299,Down,-3.1378772835214,0.000716435072195,Down,-4.6455427930634,1.83E-05,Down,-2.02902597352226,0.058348265834629,
Os01g0117900,['development.unspecified'],LOC_Os01g02870,-0.49322702275879,0.999989494557828,,-2.21930947818198,0.001127486675533,Down,-2.73033756196339,2.60E-05,Down,-3.46527376171522,4.82E-08,Down,-2.05549728447794,0.006365610343414,Down
Os01g0118000,['PS.calvin cycle.aldolase'],LOC_Os01g02880,-0.362202526960471,0.979701528882225,,-0.589701176349208,0.127846402820241,,-1.09338312829995,0.00129478302817,Down,-1.14317486809731,0.000586764621062,Down,-0.793108575798812,0.063569339021417,
Os01g0118066,NA,None,-0.700528310463747,0.866894615967647,,-1.86016260451741,0.000861947136494,Down,-1.67022812040323,0.002479181953552,Down,-0.962278689759928,0.082849120274104,,-0.367771848394444,0.722035991625707,
Os01g0118100,['DNA.synthesis/chromatin structure'],LOC_Os01g02884,-0.157737149643868,0.999989494557828,,-0.110301367894376,0.806433751040023,,0.150054115183206,0.671109793405947,,0.159387600934016,0.630391880853945,,0.071845012814904,0.91631761291012,
Os01g0118300,['lipid metabolism.Phospholipid synthesis'],LOC_Os01g02890,3.12413768375625,NA,,3.78366882213058,0.001155662102133,Up,3.55905698441216,0.00212142436329,Up,3.8739680086698,0.000448479690009,Up,0.847818617464357,0.771272396625222,
Os01g0118400,['not assigned.unknown'],LOC_Os01g02900,1.03491637423291,0.60885180264126,,1.35846859080881,0.049250344864842,Up,1.04091269199724,0.125740974246483,,1.3250364971497,0.035269116778084,Up,0.038964296972863,0.982958658424991,
Os01g0118600,['not assigned.unknown'],LOC_Os01g02910,0.328750728339632,NA,,-1.69855763595576,NA,,-0.895391688344751,0.76627759742554,,-1.87785339445536,0.48705072989906,,0.322095024822141,NA,
Os01g0118700,['not assigned.unknown'],LOC_Os01g02920,0.388987020219059,0.999989494557828,,0.476930803661305,0.484553664362007,,-0.410404717555889,0.51001174533717,,-0.021280029187625,0.975439773632554,,-0.033342843373538,0.981890133723052,
Os01g0119000,['not assigned.unknown'],LOC_Os01g02930,0.694183979177751,NA,,0.17082261242245,0.947440502575699,,-0.086565528402967,0.967706777341861,,-1.48596574047596,0.434099428080264,,1.55944064051918,0.477082823822958,
Os01g0119050,NA,LOC_Os01g02940,0.794227201112961,NA,,0.170369520520509,0.90995538079327,,1.37434368311846,0.123685934003938,,-0.24980701570228,0.831394890252555,,1.17934149282381,0.352351165743897,
Os01g0119100,['not assigned.unknown'],LOC_Os01g02940,0.138590123743037,0.999989494557828,,-0.346197124705054,0.736338771277599,,-0.330533368087919,0.702191654736749,,-1.06009437117849,0.145196513339688,,0.084596661040714,0.963476459785821,
Os01g0120300,['protein.aa activation.leucine-tRNA ligase'],LOC_Os01g03020,-0.352382475842932,0.842049986737222,,-0.319908734818545,0.336529048471892,,-0.191656351681256,0.543367364030009,,-0.689407308125339,0.007620332719484,,0.033478694588745,0.962467279584917,
Os01g0120400,['protein.aa activation.alanine-tRNA ligase'],LOC_Os01g03030,-0.112369095509101,0.999989494557828,,-0.164498186070103,0.812970450057584,,-0.430955412017481,0.398679527234232,,-0.1925784553613,0.71732523220547,,-0.5000400465867,0.498101777259316,
