id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os08g0174800,Similar to Benzothiadiazole-induced somatic embryogenesis receptor kinase 1.,"Biological Process: defense response (GO:0006952), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: ADP binding (GO:0043531), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['signalling.receptor kinases.leucine rich repeat II'],LOC_Os08g07774,,85.971782032539,1839,Black,31.671519002899
1,Os06g0287700,"Similar to NBS-LRR disease resistance protein homologue (Fragment)., Non-protein coding transcript., Similar to Nbs-lrr disease resistance protein (Fragment).","Biological Process: defense response (GO:0006952), Molecular Function: ADP binding (GO:0043531),",,,['stress.biotic'],LOC_Os06g17970,,127.884409863945,834,Black,30.7324201027067
2,Os09g0355400,"Protein kinase, core domain containing protein., Similar to OsD305.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",,,['signalling.receptor kinases.misc'],LOC_Os09g18594,,50.2440941695732,3371,Black,30.0665927856948
3,Os03g0206700,BTB/POZ fold domain containing protein.,"Biological Process: response to light stimulus (GO:0009416), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515)",,,['signalling.light'],LOC_Os03g10880,,90.0221719339471,1705,Black,29.6273275930255
4,Os02g0281000,"RmlC-like jelly roll fold domain containing protein., Similar to predicted protein.","Biological Process: regulation of protein phosphorylation (GO:0001932), Biological Process: protein phosphorylation (GO:0006468), Biological Process: protein dephosphorylation (GO:0006470), Cellular Component: cAMP-dependent protein kinase complex (GO:0005952), Cellular Component: protein serine/threonine phosphatase complex (GO:0008287), Molecular Function: catalytic activity (GO:0003824), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein serine/threonine phosphatase activity (GO:0004722), Molecular Function: ATP binding (GO:0005524), Molecular Function: cAMP-dependent protein kinase regulator activity (GO:0008603), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Molecular Function: catalytic activity (GO:0003824)",OsPKG,,['protein.postranslational modification'],LOC_Os02g17970,,64.2824253168992,2659,Black,28.6846671979375
5,Os07g0650600,"Similar to BLE2 protein., Hypothetical conserved gene., BLE2 protein.","Molecular Function: binding (GO:0005488),",OsBLE2,,['not assigned.unknown'],LOC_Os07g45570,,49.0555556859312,3455,Black,28.1916768637198
6,Os01g0664000,Similar to carboxyl-terminal-processing protease.,"Biological Process: proteolysis (GO:0006508), Molecular Function: protein binding (GO:0005515), Molecular Function: serine-type peptidase activity (GO:0008236)",,,['protein.degradation'],LOC_Os01g47450,,94.3886919728313,1584,Black,27.9604058412295
7,Os06g0483500,Similar to H0124B04.15 protein.,,,,['not assigned.unknown'],LOC_Os06g28840,,115.518300702807,1062,Black,27.4576796352599
8,Os02g0727300,"Similar to Beta-catenin repeat family protein., Similar to ubiquitin-protein ligase.","Biological Process: protein ubiquitination (GO:0016567), Cellular Component: ubiquitin ligase complex (GO:0000151), Molecular Function: ubiquitin-protein ligase activity (GO:0004842), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",OsPUB21,,['protein.degradation.ubiquitin.E3.RING'],LOC_Os02g49520,,58.7534834552242,2920,Black,27.2785582042388
9,Os01g0841800,Ribonuclease II and R domain containing protein.,"Molecular Function: RNA binding (GO:0003723), Molecular Function: ribonuclease activity (GO:0004540)",,,['RNA.processing.ribonucleases'],LOC_Os01g62440,,96.9033944734076,1511,Black,27.1145622381453
10,Os02g0672200,"Similar to AGO1 homologous protein., Similar to Protein argonaute 1A.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: protein binding (GO:0005515)",OsAGO1a,,['development.unspecified'],LOC_Os02g45070,,52.6232033332001,3234,Black,26.604068722809
11,Os02g0255801,Non-protein coding transcript.,,,,,None,,107.143926928227,1235,Black,26.4614016895381
12,Os02g0477100,Hypothetical conserved gene.,,,,['not assigned.unknown'],LOC_Os02g27592,,79.8950634078051,2050,Black,26.3230166487625
13,Os01g0960300,"Similar to Glucose inhibited division protein A., Similar to Glucose-inhibited division A family protein.","Biological Process: tRNA wobble uridine modification (GO:0002098), Biological Process: tRNA processing (GO:0008033), Molecular Function: flavin adenine dinucleotide binding (GO:0050660)",,,['signalling.in sugar and nutrient physiology'],LOC_Os01g72980,,62.506216128068,2730,Black,26.1633766800131
14,Os01g0142100,"Peptidase M50 family protein., Similar to Metalloendopeptidase.","Biological Process: proteolysis (GO:0006508), Molecular Function: metalloendopeptidase activity (GO:0004222)",,,['protein.degradation'],LOC_Os01g04900,,122.026653368318,930,Black,25.9645862363364
15,Os08g0355400,"Protein of unknown function DUF247, plant family protein., Hypothetical conserved gene.",,,,['not assigned.unknown'],LOC_Os08g26710,,45.0274896288967,3709,Black,25.1898649852797
16,Os02g0729300,"Zinc finger, CCHC retroviral-type domain containing protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)",,,['not assigned.unknown'],LOC_Os02g49670,,42.3953767826735,3902,Black,24.9526338883507
17,Os01g0619900,Similar to DNA binding.,,,,['not assigned.unknown'],LOC_Os01g43230,MYB_related,51.9206034156636,3271,Black,24.8383862875286
18,Os07g0287100,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os07g18720,,69.9334614293031,2423,Black,24.6578059549872
19,Os01g0271400,"Peptidase S14, ClpP family protein.","Biological Process: proteolysis (GO:0006508), Molecular Function: serine-type endopeptidase activity (GO:0004252)",CLPR4,,['protein.degradation.serine protease'],LOC_Os01g16530,,91.9883618588854,1646,Black,23.8015878217753
20,Os03g0795200,Pentatricopeptide repeat domain containing protein.,,,,"['RNA.regulation of transcription.MYB domain transcription factor family', 'transport.misc']",LOC_Os03g58100,,72.963670212267,2306,Black,23.7042845515034
21,Os02g0518400,Hypothetical protein.,,,,,None,,50.990438966168,3327,Black,23.6582981465153
22,Os12g0151500,"Similar to Alpha-2, 8-sialyltransferase 8B (EC 2.4.99.-) (ST8Sia II) (Sialyltransferase X) (STX).","Biological Process: protein glycosylation (GO:0006486), Cellular Component: integral to Golgi membrane (GO:0030173), Molecular Function: sialyltransferase activity (GO:0008373)",,,['protein.glycosylation'],LOC_Os12g05550,,118.002095490053,1000,Black,23.5023257359862
23,Os02g0522300,"Conserved hypothetical protein., Similar to cDNA clone:001-036-H04, full insert sequence.",,,,['not assigned.unknown'],LOC_Os02g32250,,47.2699881695074,3570,Black,23.2323272302952
