id,Label,TF,KEGG,Symbol,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day,FC_3day,pval_3day,REG_3day
0,Os01g0220100,,"Starch and sucrose metabolism, Metabolic pathways",OsCel9A,21.0584766297817,3213,Turquoise,17.3354158509076,Similar to Cellulase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Cellular Component: extracellular region (GO:0005576), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: carbohydrate binding (GO:0030246)","['misc.gluco-, galacto- and mannosidases.endoglucanase']",LOC_Os01g12070,0.764907039072499,0.669907950007563,,-0.13136042453445,0.944369553172416,,-0.361890889130956,0.794765805481251,,-0.934438115692541,0.337977094957568,,-3.08513275169122,0.00064766839029,Down,-2.77327851854241,0.001414162753555,Down
1,Os04g0169100,,"MAPK signaling pathway - plant, Plant hormone signal transduction","ETR2, OsETR2, OS-ETR2, etr2, OsPK1, PK1, ERL1, OsERL1, OsERS3",15.4152247346715,4504,Brown,11.5323095026172,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)",['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,1.00989006118935,0.000157120127672,Up,-1.15388102365891,,,-1.73388279435026,,,-1.34054048082295,,,-2.97168311015756,,,1.19236922062045,0.016688586969181,Up
2,Os03g0250000,,,,23.8470706416699,2771,GreenYellow,10.9474943238155,Conserved hypothetical protein.,,['signalling.calcium'],LOC_Os03g14590,0.054282713483385,0.983622224823379,,-1.86334035932195,6.00E-05,Down,-1.68058201521381,0.000258974825538,Down,1.00970032753758,0.304385917611916,,-1.58423122466153,,,-2.75851061503784,,
3,Os04g0504000,,"Purine metabolism, Metabolic pathways",OsAPT2,13.2724819784673,5149,Brown,10.4253087147735,Similar to Adenine phosphoribosyltransferase form 2.,Biological Process: nucleoside metabolic process (GO:0009116),['nucleotide metabolism.salvage.phosphoribosyltransferases.aprt'],LOC_Os04g42520,1.11102286444431,0.076406860032621,,-0.898686047730766,0.172828926424455,,-1.5136387610828,0.006406149432505,Down,-2.38445251166657,2.92E-05,Down,-3.03633749438664,4.42E-05,Down,-1.28623111275561,,
4,Os03g0606200,,,RMtATP6,33.3134718763686,1692,lightGreen,19.0054099547743,Mitochondrial ATP synthase 6 KD subunit.,,['mitochondrial electron transport / ATP synthesis.F1-ATPase'],LOC_Os03g40920,0.061874848186046,0.963060962899169,,-0.312065682955516,0.458044928764889,,-0.621034266999477,0.038341541315915,,-0.906740103234647,0.00077964790341,,-1.09887159147583,4.17E-05,Down,-1.0140978764314,0.000138582821251,Down
5,Os03g0223000,,,,38.9584409085474,1293,lightGreen,3.7111793998122,"Similar to atypical receptor-like kinase MARK., Similar to Atypical receptor-like kinase MARK.","Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772), Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)",['not assigned.unknown'],"LOC_Os03g12238, LOC_Os03g12250",-0.079725657908732,0.976220995321911,,-1.33609291761045,0.013840423858901,Down,-1.62265124418203,0.001204523624782,Down,-1.23281549003437,0.307398402695268,,-3.35439385849917,,,-4.80934168065686,,
6,Os03g0109900,,,,32.3812075616303,1779,Brown,27.8065833747607,"Peptidase, trypsin-like serine and cysteine domain containing protein., Hypothetical conserved gene., Peptidase cysteine/serine, trypsin-like domain containing protein.",Molecular Function: catalytic activity (GO:0003824),['not assigned.unknown'],LOC_Os03g01940,-0.329465867931811,0.720305282686853,,0.383440927015362,0.51505507015233,,0.566173603361355,0.211401536074086,,0.877632135313181,0.019778383608272,,1.25995777817102,0.000296024193681,Up,1.06920705405056,0.002741524644017,Up
7,Os08g0433600,,,,0.316295168086801,13458,Grey,0.061274036826126,Protein of unknown function DUF962 family protein.,,['not assigned.unknown'],LOC_Os08g33680,-0.478322048908672,0.628323233673969,,-1.89361795913036,0.00015629740691,Down,-1.02607636366432,0.04490066802346,Down,0.207770877712726,,,-2.20170741105164,,,-2.33714148986779,,
8,Os04g0676300,,"Pyrimidine metabolism, Metabolic pathways",,9.61715532001049,6440,Yellow,4.86965597748131,Similar to H0101F08.3 protein.,"Biological Process: 'de novo' pyrimidine base biosynthetic process (GO:0006207), Biological Process: UMP biosynthetic process (GO:0006222), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: membrane (GO:0016020), Molecular Function: catalytic activity (GO:0003824), Molecular Function: dihydroorotate dehydrogenase activity (GO:0004152), Molecular Function: dihydroorotate oxidase activity (GO:0004158)",['nucleotide metabolism.synthesis.pyrimidine.dihydroorotate dehydrogenase'],LOC_Os04g57950,-0.144940369895667,0.946676556295314,,-0.841313016619071,0.183591791286753,,-0.756239138705599,0.207548271673086,,-0.822908398202096,0.131469906846881,,-1.71424104271453,0.000817273040616,Down,-1.27304158500737,0.011535455994564,Down
9,Os05g0561600,,,,6.14978798248027,8187,lightYellow,3.13697429733424,Protein of unknown function DUF1421 domain containing protein.,,['cell wall.cell wall proteins.HRGP'],LOC_Os05g48760,-0.752219701033782,0.000629610492708,,-1.02926724588134,5.23E-07,Down,-1.28512308931437,8.76E-11,Down,-3.45052349872194,1.14E-07,Down,-1.93512999658093,0.340726941203754,,-1.80959939339885,,
